Ticker,Entry Time,Exit Time,Side,Entry Price,Exit Price,PNL,Exit Reason
MUTHOOTFIN,2025-08-14 09:25:00,2025-08-14 13:39:00,LONG,2760.8,2746.8,-504.0,Stop Loss
INFY,2025-08-14 09:25:00,2025-08-14 11:42:00,LONG,1449.6,1458.8,625.6,Trailing Stop
INFY,2025-08-14 11:43:00,2025-08-14 12:17:00,LONG,1459.6,1452.3,-496.4,Stop Loss
VMM,2025-08-14 09:25:00,2025-08-14 09:28:00,LONG,149.28,148.25,-689.07,Stop Loss
VMM,2025-08-14 09:29:00,2025-08-14 09:35:00,LONG,148.24,147.06,-795.32,Stop Loss
VMM,2025-08-14 09:36:00,2025-08-14 09:47:00,LONG,147.17,146.36,-549.99,Stop Loss
VMM,2025-08-14 09:48:00,2025-08-14 09:48:00,LONG,146.31,145.4,-621.53,Stop Loss
VMM,2025-08-14 09:49:00,2025-08-14 09:51:00,LONG,145.7,144.52,-809.48,Stop Loss
VMM,2025-08-14 09:52:00,2025-08-14 11:49:00,LONG,145.2,146.0,550.4,Trailing Stop
VMM,2025-08-14 12:05:00,2025-08-14 12:20:00,LONG,146.95,148.18,836.4,Trailing Stop
VMM,2025-08-14 12:21:00,2025-08-14 12:25:00,LONG,148.18,147.21,-653.78,Stop Loss
VMM,2025-08-14 12:26:00,2025-08-14 12:49:00,LONG,147.23,146.35,-597.52,Stop Loss
NAUKRI,2025-08-14 09:25:00,2025-08-14 09:34:00,LONG,1359.7,1350.1,-700.8,Stop Loss
NAUKRI,2025-08-14 09:35:00,2025-08-14 11:34:00,LONG,1350.0,1362.5,925.0,Trailing Stop
NAUKRI,2025-08-14 12:45:00,2025-08-14 15:29:00,LONG,1367.6,1368.9,94.9,End of Day
HBLENGINE,2025-08-14 09:25:00,2025-08-14 10:43:00,LONG,744.95,760.4,2070.3,Target Hit
HBLENGINE,2025-08-14 10:44:00,2025-08-14 11:37:00,LONG,760.45,768.25,1021.8,Trailing Stop
HBLENGINE,2025-08-14 11:38:00,2025-08-14 11:38:00,LONG,768.5,762.4,-793.0,Stop Loss
HBLENGINE,2025-08-14 11:39:00,2025-08-14 12:01:00,LONG,764.85,784.4,2541.5,Target Hit
HBLENGINE,2025-08-14 12:02:00,2025-08-14 12:13:00,LONG,785.4,781.0,-558.8,Stop Loss
HBLENGINE,2025-08-14 12:14:00,2025-08-14 12:37:00,LONG,781.85,774.8,-895.35,Stop Loss
HBLENGINE,2025-08-14 12:38:00,2025-08-14 12:45:00,LONG,774.8,767.15,-986.85,Stop Loss
HBLENGINE,2025-08-14 12:46:00,2025-08-14 13:05:00,LONG,767.9,763.5,-572.0,Stop Loss
BSE,2025-08-14 09:25:00,2025-08-14 09:34:00,LONG,2509.0,2490.7,-713.7,Stop Loss
BSE,2025-08-14 09:35:00,2025-08-14 09:50:00,LONG,2491.3,2476.1,-608.0,Stop Loss
BSE,2025-08-14 09:51:00,2025-08-14 10:02:00,LONG,2479.8,2467.0,-512.0,Stop Loss
BSE,2025-08-14 10:03:00,2025-08-14 15:29:00,LONG,2467.5,2479.8,492.0,End of Day
HDFCBANK,2025-08-14 09:28:00,2025-08-14 15:29:00,LONG,1988.2,1989.2,50.0,End of Day
JUBLFOOD,2025-08-14 09:25:00,2025-08-14 09:29:00,LONG,660.95,656.75,-634.2,Stop Loss
JUBLFOOD,2025-08-14 09:30:00,2025-08-14 09:31:00,LONG,658.8,653.65,-777.65,Stop Loss
JUBLFOOD,2025-08-14 09:32:00,2025-08-14 09:40:00,LONG,653.8,650.5,-501.6,Stop Loss
JUBLFOOD,2025-08-14 09:41:00,2025-08-14 09:48:00,LONG,650.45,647.15,-504.9,Stop Loss
JUBLFOOD,2025-08-14 09:49:00,2025-08-14 09:52:00,LONG,647.55,644.3,-500.5,Stop Loss
JUBLFOOD,2025-08-14 09:53:00,2025-08-14 09:59:00,LONG,644.55,640.9,-565.75,Stop Loss
MARUTI,2025-08-18 09:25:00,2025-08-18 11:41:00,LONG,13776.0,14080.0,2128.0,Target Hit
MARUTI,2025-08-18 11:42:00,2025-08-18 12:12:00,LONG,14109.0,14032.0,-539.0,Stop Loss
MARUTI,2025-08-18 12:13:00,2025-08-18 15:29:00,LONG,14032.0,14090.0,406.0,End of Day
HEROMOTOCO,2025-08-18 09:25:00,2025-08-18 09:59:00,LONG,5043.0,5071.1,533.9,Trailing Stop
HEROMOTOCO,2025-08-18 10:00:00,2025-08-18 10:25:00,LONG,5075.0,5046.8,-535.8,Stop Loss
HEROMOTOCO,2025-08-18 10:26:00,2025-08-18 10:34:00,LONG,5048.0,5022.7,-480.7,Stop Loss
HEROMOTOCO,2025-08-18 10:35:00,2025-08-18 10:44:00,LONG,5030.0,4999.9,-571.9,Stop Loss
HEROMOTOCO,2025-08-18 10:45:00,2025-08-18 15:29:00,LONG,5001.0,4990.0,-209.0,End of Day
ETERNAL,2025-08-18 09:25:00,2025-08-18 09:43:00,LONG,321.5,319.8,-528.7,Stop Loss
VOLTAS,2025-08-18 09:25:00,2025-08-18 09:35:00,LONG,1361.0,1353.6,-540.2,Stop Loss
VOLTAS,2025-08-18 09:36:00,2025-08-18 11:23:00,LONG,1354.2,1366.8,919.8,Trailing Stop
VOLTAS,2025-08-18 11:24:00,2025-08-18 13:25:00,LONG,1366.8,1359.6,-525.6,Stop Loss
M&M,2025-08-18 09:25:00,2025-08-18 15:21:00,LONG,3391.7,3374.3,-504.6,Stop Loss
BAJFINANCE,2025-08-18 09:25:00,2025-08-18 09:51:00,LONG,901.5,910.3,968.0,Trailing Stop
BAJFINANCE,2025-08-18 09:52:00,2025-08-18 15:00:00,LONG,910.9,906.0,-534.1,Stop Loss
AMBER,2025-08-18 09:25:00,2025-08-18 09:45:00,LONG,7344.0,7494.5,1956.5,Target Hit
AMBER,2025-08-18 09:46:00,2025-08-18 09:53:00,LONG,7495.0,7457.5,-487.5,Stop Loss
AMBER,2025-08-18 09:54:00,2025-08-18 10:01:00,LONG,7462.0,7415.0,-611.0,Stop Loss
AMBER,2025-08-18 10:02:00,2025-08-18 10:11:00,LONG,7434.0,7379.0,-715.0,Stop Loss
AMBER,2025-08-18 10:12:00,2025-08-18 12:49:00,LONG,7390.0,7427.0,481.0,Trailing Stop
BAJAJ-AUTO,2025-08-18 09:25:00,2025-08-18 10:54:00,LONG,8579.5,8533.0,-511.5,Stop Loss
BAJAJ-AUTO,2025-08-18 10:55:00,2025-08-18 11:59:00,LONG,8541.5,8497.5,-484.0,Stop Loss
BAJAJ-AUTO,2025-08-18 13:25:00,2025-08-18 15:29:00,LONG,8580.0,8592.0,132.0,End of Day
HDFCBANK,2025-08-18 09:25:00,2025-08-18 10:55:00,LONG,2018.9,2008.7,-499.8,Stop Loss
HDFCBANK,2025-08-18 14:35:00,2025-08-18 15:29:00,LONG,2005.2,2005.0,-9.8,End of Day
RELIANCE,2025-08-19 09:25:00,2025-08-19 15:29:00,LONG,1409.1,1421.0,833.0,End of Day
BHARTIARTL,2025-08-19 09:25:00,2025-08-19 09:54:00,LONG,1931.1,1920.9,-520.2,Stop Loss
BHARTIARTL,2025-08-19 09:55:00,2025-08-19 13:21:00,LONG,1921.0,1911.0,-520.0,Stop Loss
OLAELEC,2025-08-19 09:25:00,2025-08-19 09:34:00,LONG,43.4,44.32,2119.68,Target Hit
OLAELEC,2025-08-19 09:35:00,2025-08-19 09:36:00,LONG,44.4,43.88,-1171.04,Stop Loss
OLAELEC,2025-08-19 09:37:00,2025-08-19 09:37:00,LONG,44.08,43.73,-793.8,Stop Loss
OLAELEC,2025-08-19 09:38:00,2025-08-19 09:39:00,LONG,43.87,43.65,-501.38,Stop Loss
OLAELEC,2025-08-19 09:40:00,2025-08-19 09:40:00,LONG,43.63,43.4,-527.16,Stop Loss
OLAELEC,2025-08-19 09:41:00,2025-08-19 09:44:00,LONG,43.89,43.57,-728.96,Stop Loss
OLAELEC,2025-08-19 09:45:00,2025-08-19 09:46:00,LONG,43.81,43.48,-753.06,Stop Loss
